x (m),y (cm),vx (m/s),vy (m/s)
4.21,-0.00331,413,-12.5
4.25,-0.00431,418,-12.5
4.28,-0.00532,424,-12.6
4.31,-0.00633,430,-12.7
4.35,-0.00735,435,-12.8
4.38,-0.00837,441,-12.8
4.42,-0.0094,448,-12.9
4.46,-0.0104,454,-13
4.49,-0.0115,461,-13.1
4.53,-0.0125,467,-13.1
4.57,-0.0136,474,-13.2
4.61,-0.0146,482,-13.3
4.64,-0.0157,489,-13.3
4.68,-0.0168,497,-13.4
4.72,-0.0179,504,-13.5
4.77,-0.0189,512,-13.6
4.81,-0.02,521,-13.6
4.85,-0.0211,529,-13.7
4.89,-0.0222,538,-13.8
4.93,-0.0233,547,-13.9
4.98,-0.0244,557,-13.9
5.02,-0.0255,567,-14
5.07,-0.0267,577,-14.1
5.12,-0.0278,587,-14.1
5.16,-0.0289,598,-14.2
5.21,-0.0301,609,-14.3
5.26,-0.0312,621,-14.4
5.31,-0.0324,633,-14.4
5.36,-0.0335,646,-14.5
5.41,-0.0347,659,-14.6
5.47,-0.0359,673,-14.6
5.52,-0.037,687,-14.7
5.58,-0.0382,702,-14.8
5.63,-0.0394,718,-14.9
5.69,-0.0406,734,-14.9
5.75,-0.0418,751,-15
5.81,-0.043,769,-15.1
5.88,-0.0442,788,-15.1
5.94,-0.0454,808,-15.2
6,-0.0466,829,-15.3
6.07,-0.0479,851,-15.4
6.14,-0.0491,874,-15.4
6.21,-0.0503,898,-15.5
6.28,-0.0516,923,-15.6
6.36,-0.0528,951,-15.6
6.44,-0.0541,979,-15.7
6.52,-0.0553,1010,-15.8
6.6,-0.0566,1040,-15.9
6.68,-0.0579,1080,-15.9
6.77,-0.0592,1110,-16
6.86,-0.0604,1150,-16.1
6.96,-0.0617,1200,-16.1
7.05,-0.063,1240,-16.2
7.15,-0.0643,1290,-16.3
7.26,-0.0656,1350,-16.4
7.37,-0.0669,1410,-16.4
7.49,-0.0683,1470,-16.5
7.61,-0.0696,1540,-16.6
7.73,-0.0709,1620,-16.6
7.87,-0.0722,1700,-16.7
8.01,-0.0736,1800,-16.8
8.15,-0.0749,1910,-16.8
8.31,-0.0763,2030,-16.9
8.48,-0.0776,2170,-17
8.66,-0.079,2330,-17.1
8.85,-0.0804,2500,-17.1
9.06,-0.0817,2700,-17.2
9.28,-0.0831,2950,-17.3
9.53,-0.0845,3240,-17.3
9.8,-0.0859,3610,-17.4
10.1,-0.0873,4070,-17.5
10.5,-0.0887,4660,-17.5
10.9,-0.0901,5450,-17.6
11.3,-0.0915,6560,-17.7
11.9,-0.0929,8230,-17.7
12.7,-0.0943,11000,-17.8
13.8,-0.0958,16800,-17.9
15.7,-0.0972,35100,-17.9
