Time (msec),Longitude,Latitude,Altagl,Battery Capacity (%)
17300,-157.8098524,21.30671738,0.9,76
17300,-157.8098524,21.30671738,1,76
17300,-157.8098524,21.30671738,1,76
17400,-157.8098524,21.30671738,1,76
17400,-157.8098524,21.30671738,1,76
17400,-157.8098524,21.30671738,1.1,76
17500,-157.8098524,21.30671738,1.1,76
17500,-157.8098524,21.30671738,1.1,76
17500,-157.8098524,21.30671738,1.2,76
17600,-157.8098524,21.30671738,1.2,76
17600,-157.8098524,21.30671738,1.2,76
17700,-157.8098524,21.30671738,1.3,76
17700,-157.8098524,21.30671738,1.3,76
17700,-157.8098524,21.30671738,1.3,76
17800,-157.8098524,21.30671738,1.3,76
17800,-157.8098524,21.30671738,1.3,76
17800,-157.8098524,21.30671738,1.4,76
17900,-157.8098524,21.30671738,1.5,76
17900,-157.8098524,21.30671738,1.5,76
17900,-157.8098524,21.30671738,1.5,76
18000,-157.8098524,21.30671738,1.5,76
18000,-157.8098524,21.30671738,1.5,76
18000,-157.8098524,21.30671738,1.5,76
18100,-157.8098524,21.30671738,1.6,76
18100,-157.8098524,21.30671738,1.7,76
18100,-157.8098524,21.30671738,1.7,76
18200,-157.8098524,21.30671738,1.7,76
18200,-157.8098524,21.30671738,1.7,76
18200,-157.8098524,21.30671738,1.7,76
18300,-157.8098524,21.30671738,1.8,76
18300,-157.8098524,21.30671738,1.8,76
18400,-157.8098524,21.30671738,1.8,76
18400,-157.8098524,21.30671738,1.8,76
18400,-157.8098524,21.30671738,1.8,76
18500,-157.8098524,21.30671738,1.9,76
18500,-157.8098524,21.30671738,1.9,76
18500,-157.8098524,21.30671738,1.9,76
18600,-157.8098524,21.30671738,1.9,76
18600,-157.8098524,21.30671738,2,76
18600,-157.8098524,21.30671738,2,76
18700,-157.8098524,21.30671738,2,76
18700,-157.8098524,21.30671738,2,76
18700,-157.8098524,21.30671738,2,76
18800,-157.8098524,21.30671738,2,76
18800,-157.8098524,21.30671738,2,76
18800,-157.8098524,21.30671738,2,76
18900,-157.8098524,21.30671738,2,76
18900,-157.8098524,21.30671738,2,76
18900,-157.8098524,21.30671738,2,76
19000,-157.8098524,21.30671738,2.1,75
19000,-157.8098524,21.30671738,2.1,75
19100,-157.8098524,21.30671738,2.1,75
19100,-157.8098524,21.30671738,2.1,75
19100,-157.8098524,21.30671738,2.1,75
19200,-157.8098524,21.30671738,2.1,75
19200,-157.8098524,21.30671738,2.2,75
19200,-157.8098524,21.30671738,2.2,75
19300,-157.8098524,21.30671738,2.2,75
19300,-157.8098524,21.30671738,2.2,75
19300,-157.8098524,21.30671738,2.2,75
19400,-157.8098524,21.30671738,2.2,75
19400,-157.8098524,21.30671738,2.2,75
19400,-157.8098524,21.30671738,2.2,75
19500,-157.8098524,21.30671738,2.3,75
19500,-157.8098524,21.30671738,2.3,75
19500,-157.8098524,21.30671738,2.3,75
19600,-157.8098524,21.30671738,2.3,75
19600,-157.8098524,21.30671738,2.3,75
19600,-157.8098524,21.30671738,2.4,75
19700,-157.8098524,21.30671738,2.4,75
19700,-157.8098524,21.30671738,2.4,75
19800,-157.8098524,21.30671738,2.5,75
19800,-157.8098524,21.30671738,2.5,75
19800,-157.8098524,21.30671738,2.5,75
19900,-157.8098524,21.30671738,2.5,75
19900,-157.8098524,21.30671738,2.5,75
19900,-157.8098524,21.30671738,2.5,75
20000,-157.8098524,21.30671738,2.5,75
20000,-157.8098524,21.30671738,2.5,75
20000,-157.8098524,21.30671738,2.6,75
20100,-157.8098524,21.30671738,2.6,75
20100,-157.8098524,21.30671738,2.6,75
20100,-157.8098524,21.30671738,2.6,75
20200,-157.8098524,21.30671738,2.6,75
20200,-157.8098524,21.30671738,2.6,75
20200,-157.8098524,21.30671738,2.6,75
20300,-157.8098524,21.30671738,2.7,75
20300,-157.8098524,21.30671738,2.7,75
20300,-157.8098524,21.30671738,2.7,75
20400,-157.8098524,21.30671738,2.7,75
20400,-157.8098524,21.30671738,2.7,75
20500,-157.8098524,21.30671738,2.7,75
20500,-157.8098524,21.30671738,2.7,75
20500,-157.8098524,21.30671738,2.7,75
20600,-157.8098524,21.30671738,2.8,75
20600,-157.8098524,21.30671738,2.8,75
20600,-157.8098524,21.30671738,2.8,75
20700,-157.8098524,21.30671738,2.8,75
20700,-157.8098524,21.30671738,2.8,75
20700,-157.8098524,21.30671738,2.8,75
20800,-157.8098524,21.30671738,2.8,75
20800,-157.8098524,21.30671738,2.8,75
20800,-157.8098524,21.30671738,2.9,75
20900,-157.8098524,21.30671738,2.9,75
20900,-157.8098524,21.30671738,2.9,75
20900,-157.8098524,21.30671738,2.9,75
21000,-157.8098524,21.30671738,2.9,75
21000,-157.8098524,21.30671738,2.9,75
21000,-157.8098524,21.30671738,2.9,75
21100,-157.8098524,21.30671738,2.9,75
21100,-157.8098524,21.30671738,2.9,75
21200,-157.8098524,21.30671738,3,75
21200,-157.8098524,21.30671738,3,75
21200,-157.8098524,21.30671738,3,75
21300,-157.8098524,21.30671738,3,75
21300,-157.8098524,21.30671738,3,75
21300,-157.8098524,21.30671738,3,75
21400,-157.8098524,21.30671738,3,75
21400,-157.8098524,21.30671738,3,75
21400,-157.8098524,21.30671738,3,75
21500,-157.8098524,21.30671738,3.1,75
21500,-157.8098524,21.30671738,3.1,75
21500,-157.8098524,21.30671738,3.1,75
21600,-157.8098524,21.30671738,3.1,75
21600,-157.8098524,21.30671738,3.1,75
21600,-157.8098524,21.30671738,3.1,75
21700,-157.8098524,21.30671738,3.1,75
21700,-157.8098524,21.30671738,3.1,75
21700,-157.8098524,21.30671738,3.1,75
21800,-157.8098524,21.30671738,3.1,75
21800,-157.8098524,21.30671738,3.1,75
21900,-157.8098524,21.30671738,3.2,75
21900,-157.8098524,21.30671738,3.2,75
21900,-157.8098524,21.30671738,3.2,75
22000,-157.8098524,21.30671738,3.2,75
22000,-157.8098524,21.30671738,3.2,75
22000,-157.8098524,21.30671738,3.3,75
22100,-157.8098524,21.30671738,3.3,75
22100,-157.8098524,21.30671738,3.3,75
22100,-157.8098524,21.30671738,3.3,75
22200,-157.8098524,21.30671738,3.3,75
22200,-157.8098524,21.30671738,3.3,75
22200,-157.8098524,21.30671738,3.3,75
22300,-157.8098524,21.30671738,3.3,75
22300,-157.8098524,21.30671738,3.3,75
22300,-157.8098524,21.30671738,3.4,75
22400,-157.8098524,21.30671738,3.4,75
22400,-157.8098524,21.30671738,3.4,75
22400,-157.8098524,21.30671738,3.4,75
22500,-157.8098524,21.30671738,3.4,75
22500,-157.8098524,21.30671738,3.4,75
22600,-157.8098524,21.30671738,3.4,75
22600,-157.8098524,21.30671738,3.4,75
22600,-157.8098524,21.30671738,3.5,75
22700,-157.8098524,21.30671738,3.5,75
22700,-157.8098524,21.30671738,3.5,75
22700,-157.8098524,21.30671738,3.5,75
22800,-157.8098524,21.30671738,3.5,75
22800,-157.8098524,21.30671738,3.5,75
22800,-157.8098524,21.30671738,3.6,75
22900,-157.8098524,21.30671738,3.6,75
22900,-157.8098524,21.30671738,3.6,75
22900,-157.8098524,21.30671738,3.6,75
23000,-157.8098524,21.30671738,3.6,74
23000,-157.8098524,21.30671738,3.6,74
23000,-157.8098524,21.30671738,3.6,74
23100,-157.8098524,21.30671738,3.7,74
23100,-157.8098524,21.30671738,3.7,74
23100,-157.8098524,21.30671738,3.7,74
23200,-157.8098524,21.30671738,3.7,74
23200,-157.8098524,21.30671738,3.7,74
23300,-157.8098524,21.30671738,3.7,74
23300,-157.8098524,21.30671738,3.8,74
23300,-157.8098524,21.30671738,3.8,74
23400,-157.8098524,21.30671738,3.8,74
23400,-157.8098524,21.30671738,3.8,74
23400,-157.8098524,21.30671738,3.8,74
23500,-157.8098524,21.30671738,3.9,74
23500,-157.8098484,21.30672138,3.9,74
23500,-157.8098484,21.30672138,3.9,74
23600,-157.8098484,21.30672138,3.9,74
23600,-157.8098484,21.30672138,3.9,74
23600,-157.8098484,21.30672138,3.9,74
23700,-157.8098484,21.30672138,3.9,74
23700,-157.8098484,21.30672138,3.9,74
